title,description,thumbnailUrl,hdThumbnailUrl,videoAddedToPlaylistAt,videoPublishedAt,playlistHostedChannelName,videoOwnerTitle,videoOwnerChannelId,videoId,videoUrl,videotags,categoryId,defaultAudioLanguage,viewCount,likeCount,favoriteCount,videoCommentCount,videoDuration
Restart Leetcode POTD Journey || #leetcode,,https://i.ytimg.com/vi/Mu52N0tPNSM/default.jpg,https://i.ytimg.com/vi/Mu52N0tPNSM/hqdefault.jpg,2023-07-25T10:44:01Z,2023-07-25T10:48:06Z,GeekNerd,GeekNerd,UCPI0J4401be7SHmoINyux7w,Mu52N0tPNSM,https://www.youtube.com/watch?v=Mu52N0tPNSM,"leetcode,potd",27,Not Present,125,16,0,6,00:03:04
1870. Minimum Speed to Arrive on Time || Leetcode POTD #leetcode,"Question Link - 
https://leetcode.com/problems/minimum-speed-to-arrive-on-time

Binary Search -- https://youtu.be/-5y_s5fRTLc

0:00 Intro
0:10 Approach
21:00 Code",https://i.ytimg.com/vi/Rok5uTmRodk/default.jpg,https://i.ytimg.com/vi/Rok5uTmRodk/hqdefault.jpg,2023-07-26T11:20:27Z,2023-07-26T11:31:21Z,GeekNerd,GeekNerd,UCPI0J4401be7SHmoINyux7w,Rok5uTmRodk,https://www.youtube.com/watch?v=Rok5uTmRodk,Not Present,27,Not Present,72,7,0,0,00:32:08
2141 Maximum Running Time of N Computers,,https://i.ytimg.com/vi/QerThwEsnV0/default.jpg,https://i.ytimg.com/vi/QerThwEsnV0/hqdefault.jpg,2023-07-27T11:33:46Z,2023-07-27T11:40:18Z,GeekNerd,GeekNerd,UCPI0J4401be7SHmoINyux7w,QerThwEsnV0,https://www.youtube.com/watch?v=QerThwEsnV0,Not Present,27,Not Present,66,5,0,4,00:32:08
486  Predict the Winner || Leetcode 486,"POTD Series Playlist -- https://youtube.com/playlist?list=PLFd4hxF1F3uWE2a1F-nYP9SpRUgShhmh9

0:00 Intro
0:10 Approach
18:13 Code",https://i.ytimg.com/vi/Ex9mDGK17M4/default.jpg,https://i.ytimg.com/vi/Ex9mDGK17M4/hqdefault.jpg,2023-07-28T11:18:24Z,2023-07-28T11:24:54Z,GeekNerd,GeekNerd,UCPI0J4401be7SHmoINyux7w,Ex9mDGK17M4,https://www.youtube.com/watch?v=Ex9mDGK17M4,Not Present,27,Not Present,88,5,0,1,00:26:43
808  Soup Servings || Leetcode || Recursion || Day 04,"Question Link: https://leetcode.com/problems/soup-servings/

0:00 Intro
0:10 Approach
22:13 Code",https://i.ytimg.com/vi/z0y3wAEmxRs/default.jpg,https://i.ytimg.com/vi/z0y3wAEmxRs/hqdefault.jpg,2023-07-29T12:15:11Z,2023-07-29T12:28:16Z,GeekNerd,GeekNerd,UCPI0J4401be7SHmoINyux7w,z0y3wAEmxRs,https://www.youtube.com/watch?v=z0y3wAEmxRs,Not Present,27,Not Present,52,5,0,2,00:42:09
664  Strange Printer Leetcode,"Question Link: https://leetcode.com/problems/strange-printer/description/
Code Documentation and Explaination: https://leetcode.com/problems/strange-printer/solutions/3839405/dynamic-programming-video-youtube-link/
POTD series playlist : https://youtube.com/playlist?list=PLFd4hxF1F3uWE2a1F-nYP9SpRUgShhmh9

Connect with me: 
Linkedin : https://www.linkedin.com/in/akash-kumar-parida-409197221/
Gmail : geeknerd2025@gmail.com

0:00 Intro
0:10 Approach
21:05 Code


geek nerd 664 Strange Printer leetcode
#leetcode #geeknerd #geek #nerd #664",https://i.ytimg.com/vi/A327CWvzFcs/default.jpg,https://i.ytimg.com/vi/A327CWvzFcs/hqdefault.jpg,2023-07-30T15:12:20Z,2023-07-30T15:16:30Z,GeekNerd,GeekNerd,UCPI0J4401be7SHmoINyux7w,A327CWvzFcs,https://www.youtube.com/watch?v=A327CWvzFcs,Not Present,27,Not Present,266,6,0,8,00:29:50
712  Minimum ASCII Delete Sum for Two Strings || Leetcode,"Sorry for the late upload.. I will try to upload video before noon from tommorow
Question Link: https://leetcode.com/problems/minimum-ascii-delete-sum-for-two-strings/description/
POTD series playlist :   https://youtube.com/playlist?list=PLFd4hxF1F3uWE2a1F-nYP9SpRUgShhmh9

Connect with me: 
Linkedin :   https://www.linkedin.com/in/akash-kumar-parida-409197221/
Gmail : geeknerd2025@gmail.com

0:00 Intro
0:10 Approach
13:45 Code


geek nerd 712. Minimum ASCII Delete Sum for Two Strings  leetcode
#leetcode #geeknerd #geek #nerd #664",https://i.ytimg.com/vi/xJdGUiCv0UY/default.jpg,https://i.ytimg.com/vi/xJdGUiCv0UY/hqdefault.jpg,2023-07-31T15:50:23Z,2023-07-31T15:54:17Z,GeekNerd,GeekNerd,UCPI0J4401be7SHmoINyux7w,xJdGUiCv0UY,https://www.youtube.com/watch?v=xJdGUiCv0UY,Not Present,27,Not Present,22,3,0,1,00:26:52
77  Combinations || Leetcode,"Question Link: https://leetcode.com/problems/combinations/
Code Documentation and Explaination: https://leetcode.com/problems/combinations/solutions/3847350/combinations-backtracking-and-recursion-video-youtube-link/
POTD series playlist : https://youtube.com/playlist?list=PLFd4hxF1F3uWE2a1F-nYP9SpRUgShhmh9

Connect with me: 
Linkedin : https://www.linkedin.com/in/akash-kumar-parida-409197221/
Gmail : geeknerd2025@gmail.com

0:00 Intro
0:10 Approach
11:23 Code


geek nerd 77  Combinations leetcode
#leetcode #geeknerd #geek #nerd #77",https://i.ytimg.com/vi/VqA2jUQEEMA/default.jpg,https://i.ytimg.com/vi/VqA2jUQEEMA/hqdefault.jpg,2023-08-01T10:19:56Z,2023-08-01T10:20:01Z,GeekNerd,GeekNerd,UCPI0J4401be7SHmoINyux7w,VqA2jUQEEMA,https://www.youtube.com/watch?v=VqA2jUQEEMA,Not Present,27,Not Present,83,6,0,0,00:23:12
46  Permutations || Leetcode Solution #leetcodedailychallenge,"Question Link: https://leetcode.com/problems/permutations/
Code Documentation and Explaination: https://leetcode.com/problems/permutations/solutions/3852021/backtracking-approach-with-video-youtube-link-detailed-explaination/
POTD series playlist : https://youtube.com/playlist?list=PLFd4hxF1F3uWE2a1F-nYP9SpRUgShhmh9

Connect with me: 
Linkedin : https://www.linkedin.com/in/akash-kumar-parida-409197221/
Gmail : geeknerd2025@gmail.com
Instagram : https://www.instagram.com/akash_akp_0037/

0:00 Intro
0:10 Approach
11:53 Code


geek nerd 46  Permutation leetcode
Leetcode daily challenge today
permutation leetcode 46
Leetcode 46
Leetcode problem
Leetcode solution
leetcode Weekly contest
#leetcode #geeknerd #geek #nerd #46",https://i.ytimg.com/vi/zI0kS3sSMew/default.jpg,https://i.ytimg.com/vi/zI0kS3sSMew/hqdefault.jpg,2023-08-02T07:35:10Z,2023-08-02T07:36:36Z,GeekNerd,GeekNerd,UCPI0J4401be7SHmoINyux7w,zI0kS3sSMew,https://www.youtube.com/watch?v=zI0kS3sSMew,"leetcode,dsa,problem,solution,weekly contest,geek,nerd,leetcode daily challenge,code,geeknerd",27,Not Present,141,5,0,5,00:19:53
17  Letter Combinations of a Phone Number leetcode,"Question Link: https://leetcode.com/problems/letter-combinations-of-a-phone-number/
Code Documentation and Explanation: 
POTD series playlist : https://youtube.com/playlist?list=PLFd4hxF1F3uWE2a1F-nYP9SpRUgShhmh9

Connect with me: 
Linkedin : https://www.linkedin.com/in/akash-kumar-parida-409197221/
Gmail : geeknerd2025@gmail.com
Instagram : https://www.instagram.com/akash_akp_0037/

0:00 Intro
0:10 Approach
16:52 Code


geek nerd 17  Letter Combinations of a Phone Number leetcode
Leetcode daily challenge today
Leetcode 17
Leetcode problem
Leetcode solution
leetcode Weekly contest
#leetcode #geeknerd #geek #nerd #17",https://i.ytimg.com/vi/9Hm2BaQunK0/default.jpg,https://i.ytimg.com/vi/9Hm2BaQunK0/hqdefault.jpg,2023-08-03T11:37:43Z,2023-08-03T11:41:57Z,GeekNerd,GeekNerd,UCPI0J4401be7SHmoINyux7w,9Hm2BaQunK0,https://www.youtube.com/watch?v=9Hm2BaQunK0,"leetcode,dsa,problem,solution,weekly contest,geek,nerd,leetcode daily challenge,code,geeknerd",27,Not Present,23,4,0,0,00:26:30
